"","X","Y","OBJECTID","LU","DESCR","Shape__Are","Shape__Len","xcoord","ycoord"
"21235",580372.46443,2853717.88438,90468,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",567.62109,102.49069,580372.46443,2853717.88438
"21365",581176.89751,2851207.65078,92297,414,"Colleges and Universities, Including Research Centers, Public and Private.",839.55273,122.07094,581176.89751,2851207.65078
"21468",580104.02765,2856185.44034,93759,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",2372.62305,194.92111,580104.02765,2856185.44034
"21487",581071.04482,2851143.613,95028,414,"Colleges and Universities, Including Research Centers, Public and Private.",31811.04102,844.70826,581071.04482,2851143.613
"21499",580499.74298,2853529.09465,95165,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",5991.97461,312.18125,580499.74298,2853529.09465
"21517",575762.59418,2845480.2856,95528,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",768.61914,112.44425,575762.59418,2845480.2856
"21575",581226.99543,2851397.83375,94240,414,"Colleges and Universities, Including Research Centers, Public and Private.",2871.44531,223.7368,581226.99543,2851397.83375
"21743",581172.3881,2853741.98467,97488,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",598.34766,103.88948,581172.3881,2853741.98467
"21880",580889.97329,2856699.91203,100485,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1250.75586,148.4249,580889.97329,2856699.91203
"22079",579834.88465,2853162.69691,102445,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",40140.32812,831.8763,579834.88465,2853162.69691
"22354",579300.44143,2856601.29644,107571,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1393.72656,147.02612,579300.44143,2856601.29644
"22364",580892.01103,2850982.81184,107682,414,"Colleges and Universities, Including Research Centers, Public and Private.",7760.69727,372.04455,580892.01103,2850982.81184
"22373",581284.89518,2855034.79552,107798,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",1686.54102,165.13197,581284.89518,2855034.79552
"22426",579399.33451,2856202.37778,109577,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",4393.69922,274.31369,579399.33451,2856202.37778
"22429",581227.94829,2852363.42404,109600,414,"Colleges and Universities, Including Research Centers, Public and Private.",2249.24805,205.68685,581227.94829,2852363.42404
"22437",579696.49915,2857529.85325,109718,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",14431.57227,546.57292,579696.49915,2857529.85325
"22481",577667.79714,2856415.4484,108330,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",802.84375,112.99188,577667.79714,2856415.4484
"22489",578651.70753,2857058.67051,108470,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3303.875,246.2037,578651.70753,2857058.67051
"22551",575943.25478,2846763.6748,106376,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",675,115.98495,575943.25478,2846763.6748
"22605",578608.34859,2857487.86557,111090,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",9649.42578,401.09148,578608.34859,2857487.86557
"22645",574984.96666,2844467.35038,111816,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",3996.56836,279.64973,574984.96666,2844467.35038
"22745",575910.59723,2845701.65661,113335,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",18957.11328,659.90912,575910.59723,2845701.65661
"22757",581626.11308,2857122.04625,113440,412,"Private Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",14761.29492,675.4872,581626.11308,2857122.04625
"22873",578204.83717,2856628.90133,115156,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",27123.29297,674.21905,578204.83717,2856628.90133
"22893",580376.48263,2852913.53279,115459,411,"Public Schools, Including Playgrounds (K-12, Vocational Ed., Day Care and Child Nurseries).",17275.88281,797.38722,580376.48263,2852913.53279
